eco_id	eco_name	slug	oneearth_title	match_type	score
198	Esperance mallee	esperance-mallee	Esperance Mallee	norm_exact	1.0000
199	Eyre and York mallee	eyre-and-yorke-mallee	Eyre and Yorke Mallee	fuzzy_auto	0.9756
200	Flinders-Lofty montane woodlands	flinders-lofty-montane-woodlands	Flinders-Lofty Montane Woodlands	norm_exact	1.0000
201	Hampton mallee and woodlands	hampton-mallee-and-woodlands	Hampton Mallee and Woodlands	norm_exact	1.0000
202	Jarrah-Karri forest and shrublands	jarrah-karri-forest-and-shrublands	Jarrah-Karri Forest and Shrublands	norm_exact	1.0000
203	Murray-Darling woodlands and mallee	murray-darling-woodlands-and-mallee	Murray-Darling Woodlands and Mallee	norm_exact	1.0000
204	Naracoorte woodlands	naracoorte-woodlands	Naracoorte Woodlands	norm_exact	1.0000
205	Southwest Australia savanna	southwest-australia-savanna	Southwest Australia Savanna	norm_exact	1.0000
206	Southwest Australia woodlands	southwest-australia-woodlands	Southwest Australia Woodlands	norm_exact	1.0000
207	Carnarvon xeric shrublands	carnarvon-xeric-shrublands	Carnarvon Xeric Shrublands	norm_exact	1.0000
208	Central Ranges xeric scrub	central-ranges-xeric-scrub	Central Ranges Xeric Scrub	norm_exact	1.0000
209	Gibson desert	gibson-desert	Gibson Desert	norm_exact	1.0000
210	Great Sandy-Tanami desert	great-sandy-tanami-desert	Great Sandy-Tanami Desert	norm_exact	1.0000
211	Great Victoria desert	great-victoria-desert	Great Victoria Desert	norm_exact	1.0000
212	Nullarbor Plains xeric shrublands	nullarbor-plains-xeric-shrublands	Nullarbor Plains Xeric Shrublands	norm_exact	1.0000
213	Pilbara shrublands	pilbara-shrublands	Pilbara Shrublands	norm_exact	1.0000
214	Simpson desert	simpson-desert	Simpson Desert	norm_exact	1.0000
215	Tirari-Sturt stony desert	tirari-stuart-stony-desert	Tirari-Stuart Stony Desert	fuzzy_auto	0.9804
216	Western Australian Mulga shrublands	western-australian-mulga-shrublands	Western Australian Mulga Shrublands	norm_exact	1.0000
217	New Guinea mangroves	new-guinea-mangroves	New Guinea Mangroves	norm_exact	1.0000
218	Andaman Islands rain forests	andaman-islands-rainforests	Andaman Islands Rainforests	norm_exact	1.0000
219	Borneo lowland rain forests	borneo-lowland-rainforests	Borneo Lowland Rainforests	norm_exact	1.0000
220	Borneo montane rain forests	borneo-montane-rainforests	Borneo Montane Rainforests	norm_exact	1.0000
221	Borneo peat swamp forests	borneo-peat-swamp-forests	Borneo Peat Swamp Forests	norm_exact	1.0000
222	Brahmaputra Valley semi-evergreen forests	brahmaputra-valley-semi-evergreen-forests	Brahmaputra Valley Semi-Evergreen Forests	norm_exact	1.0000
223	Cardamom Mountains rain forests	cardamom-mountains-rainforests	Cardamom Mountains Rainforests	norm_exact	1.0000
224	Chao Phraya freshwater swamp forests	chao-phraya-freshwater-swamp-forests	Chao Phraya Freshwater Swamp Forests	norm_exact	1.0000
225	Chao Phraya lowland moist deciduous forests	chao-phraya-lowland-moist-deciduous-forests	Chao Phraya Lowland Moist Deciduous Forests	norm_exact	1.0000
226	Chin Hills-Arakan Yoma montane forests	chin-hills-arakan-yoma-montane-forests	Chin Hills-Arakan Yoma Montane Forests	norm_exact	1.0000
227	Christmas and Cocos Islands tropical forests	christmas-and-cocos-islands-tropical-forests	Christmas and Cocos Islands Tropical Forests	norm_exact	1.0000
228	East Deccan moist deciduous forests	east-deccan-moist-deciduous-forests	East Deccan Moist Deciduous Forests	norm_exact	1.0000
229	Eastern Java-Bali montane rain forests	eastern-java-bali-montane-rainforests	Eastern Java–Bali Montane Rainforests	norm_exact	1.0000
230	Eastern Java-Bali rain forests	eastern-java-bali-rainforests	Eastern Java-Bali Rainforests	norm_exact	1.0000
231	Greater Negros-Panay rain forests	greater-negros-panay-rainforests	Greater Negros-Panay Rainforests	norm_exact	1.0000
232	Hainan Island monsoon rain forests	hainan-island-monsoon-rainforests	Hainan Island Monsoon Rainforests	norm_exact	1.0000
233	Himalayan subtropical broadleaf forests	himalayan-subtropical-broadleaf-forests	Himalayan Subtropical Broadleaf Forests	norm_exact	1.0000
234	Irrawaddy freshwater swamp forests	irrawaddy-freshwater-swamp-forests	Irrawaddy Freshwater Swamp Forests	norm_exact	1.0000
235	Irrawaddy moist deciduous forests	irrawaddy-moist-deciduous-forests	Irrawaddy Moist Deciduous Forests	norm_exact	1.0000
236	Jian Nan subtropical evergreen forests	jian-nan-subtropical-evergreen-forests	Jian Nan Subtropical Evergreen Forests	norm_exact	1.0000
237	Kayah-Karen montane rain forests	kayah-karen-montane-rainforests	Kayah-Karen Montane Rainforests	norm_exact	1.0000
238	Lower Gangetic Plains moist deciduous forests	lower-gangetic-plains-moist-deciduous-forests	Lower Gangetic Plains Moist Deciduous Forests	norm_exact	1.0000
239	Luang Prabang montane rain forests	luang-prabang-montane-rainforests	Luang Prabang Montane Rainforests	norm_exact	1.0000
240	Luzon montane rain forests	luzon-montane-rainforests	Luzon Montane Rainforests	norm_exact	1.0000
241	Luzon rain forests	luzon-rainforests	Luzon Rainforests	norm_exact	1.0000
242	Malabar Coast moist forests	malabar-coast-moist-forests	Malabar Coast Moist Forests	norm_exact	1.0000
243	Maldives-Lakshadweep-Chagos Archipelago tropical moist forests	maldives-lakshadweep-chagos-archipelago-tropical-moist-forests	Maldives-Lakshadweep-Chagos Archipelago Tropical Moist Forests	norm_exact	1.0000
244	Meghalaya subtropical forests	meghalaya-subtropical-forests	Meghalaya Subtropical Forests	norm_exact	1.0000
