id	title	title_source	title_uri	ccodes	matches	names	types	aat_types	parent_name	parent_id	lon	lat	geowkt	geo_source	geo_id	start	end
85090	Imphal			IN	dbp:Imphal;tgn:1075519	Imphal	inhabited places				93.944203	24.808053	POINT (93.944203 24.808053)		tgn:1075519	1765	1765
85091	Imuris				dbp:Ímuris	Imuris	cultural group				-110.867	30.7833	POINT (-110.867 30.7833)		dbp:Ímuris	1600	1750
85092	Inanna Temple			IQ		Inanna Temple	single built work									-4000	-1500
85093	Inanna, Ziggurat of			IQ		Inanna, Ziggurat of	single built work									-4000	-500
85094	Inca				dbp:Inca_Empire;dplace:Sf1;tgn:7286134	Inca	cultural group				-69.9	-26.833333	POINT (-69.90000000000001 -26.833333)		tgn:7286134	1500	1500
85095	Inca Empire				dbp:Inca_Empire	Inca Empire	nation									1500	1500
85096	Incawasi			PE		Incawasi	inhabited places									1525	1525
85097	Inchon			KR	dbp:Incheon;tgn:7000998	Inchon	inhabited places				126.633	37.4833	POINT (126.633 37.4833)		dbp:Incheon		
85098	Incirlik			IR	dbp:İncirlik	Incirlik	inhabited places				35.4342	36.9861	POINT (35.4342 36.9861)		dbp:İncirlik	1980	2005
85099	Incognita, Terra					Incognita, Terra	region									150	150
85100	Independence			US		Independence	inhabited places									1783	1905
85101	India				dbp:India	India	region;possession;nation				72.8258	28.6133	POINT (72.8258 28.6133)		dbp:India	-550	-331
85102	Indian Ocean				dbp:Indian_Ocean	Indian Ocean	ocean				80	-20	POINT (80 -20)		dbp:Indian_Ocean	-200	400
85103	Indian Reserve					Indian Reserve	region									1775	1783
85104	Indiana			US	loc:n79022925;gn:4921868;viaf:129599983;wd:Q1415;dbp:Indiana;tgn:7007252	Indiana	state				-86	40	POINT (-86 40)		dbp:Indiana	1783	1896
85105	Indianapolis			US	dbp:Indianapolis	Indianapolis	inhabited places				-86.15	39.791	POINT (-86.15000000000001 39.791)		dbp:Indianapolis	1783	1905
85106	Indicus, Oceanus				dbp:Indian_Ocean	Indicus, Oceanus;Indian Ocean	ocean				80	-20	POINT (80 -20)		dbp:Indian_Ocean	150	150
85107	Indigirka				dbp:Indigirka_River;wd:Q82207;gn:2125263;tgn:1124896	Indigirka	river				149.60884	70.929002	POINT (149.60884 70.929002)		tgn:1124896	-6000	-2000
85108	Indo-China				dbp:Indochina;tgn:7016879	Indo-China	region				107	16	POINT (107 16)		tgn:7016879	1941	1943
85109	Indo-Greeks				dbp:Indo-Greek_Kingdom	Indo-Greeks	cultural group									300	550
